instname,state,tuition,revenue,control,total_enrollment,all_employees
ITT Technical Institute-San Dimas,California,16848,17811996,3,1030,127
ITT Technical Institute-Anaheim,California,16848,17316777,3,951,109
J Boutique College of Beauty,California,,1224643,3,129,12
John F Kennedy University,California,16680,24231627,2,1626,428
American Jewish University,California,21408,23381535,2,251,231
Reedley College,California,5040,64842343,1,15384,900
Life Pacific College,California,12000,7714745,2,487,56
The Art Institute of California-San Diego,California,24144,56723470,3,2040,243
University of La Verne,California,28250,110400978,2,7482,1019
Laguna College of Art and Design,California,21600,7140117,2,409,109
Lake Tahoe Community College,California,5928,17653393,1,3206,268
Lancaster Beauty School,California,,1136854,3,131,11
Lassen Community College,California,5184,18524638,1,2250,205
Life Chiropractic College-West,California,,11960525,2,371,126
Lincoln University,California,8845,2891871,2,629,26
Southern California Seminary,California,12204,2112453,2,195,43
Loma Linda University,California,25200,352797860,2,5971,2238
Long Beach City College,California,6048,147423225,1,27894,1592
Southern California University of Health Sciences,California,,14397699,2,458,173
The Master's College and Seminary,California,24280,31063478,2,1348,382
Los Angeles City College,California,5846,789361800,1,154142,7126
Los Angeles County College of Nursing and Allied Health,California,,6083887,1,333,65
The Art Institute of California-San Francisco,California,19765,35183146,3,1462,228
Loyola Marymount University,California,34730,329727849,2,9015,2235
Lu Ross Academy,California,,1214255,3,122,14
Manchester Beauty College,California,,588963,3,115,9
Tulare Beauty College,California,,368906,3,94,5
Lyles Bakersfield College of Beauty,California,,2053922,3,304,22
Lytles Redwood Empire Beauty College Inc,California,,1520119,3,108,15
MTI Business College Inc,California,,1094214,3,227,16
MTI College,California,,11258231,3,555,118
Kaplan College-Sacramento Campus,California,,9506725,3,653,73
Kaplan College-San Diego,California,,21893305,3,1402,171
Kaplan College-Vista,California,,17564670,3,1235,114
College of Marin,California,6480,62645217,1,7066,581
Marinello School of Beauty,California,,28155807,3,2305,168
Marymount College,California,24052,18401223,2,569,163
Mendocino College,California,4560,31996247,1,4833,443
Menlo College,California,31720,47633722,2,652,148
Mennonite Brethren Biblical Seminary,California,,3274710,2,118,35
Merced College,California,5184,66987152,1,10446,857
Mills College,California,35196,70440737,2,1501,588
MiraCosta College,California,5184,94956777,1,13537,905
Marinello Schools of Beauty,California,,4509520,3,340,40
Modern Beauty Academy,California,,486879,3,61,7
Kaplan College,California,,18739569,3,1288,94
Moler Barber College,California,,350770,3,25,4
Monterey Peninsula College,California,5184,57781854,1,9578,563
Mt San Antonio College,California,624,167329370,1,29935,1917
Mount St Mary's College,California,27840,78730469,2,2482,633
Mt. San Jacinto Community College District,California,6210,72633555,1,17583,1117
Mueller College of Holistic Studies,California,12240,1767469,3,239,51
Musicians Institute,California,23100,33385464,3,1425,401
Napa Valley College,California,4560,58095272,1,7282,621
Everest College-San Francisco,California,,7417689,3,627,56
Everest College-Reseda,California,,13913263,3,1090,86
Everest College-LA Wilshire,California,,8596749,3,608,51
Everest College-San Jose,California,,7923593,3,672,53
Everest College-Gardena,California,,11601826,3,962,75
Everest College-Alhambra,California,,9470643,3,737,65
Everest College-San Bernardino,California,,16027853,3,1267,94
The National Hispanic University,California,6440,3458926,2,595,112
National Holistic Institute,California,,9525764,3,187,78
National University,California,10728,220047575,2,15553,4087
Naval Postgraduate School,California,,,1,2484,1216
Newschool of Architecture and Design,California,20400,11311841,3,598,105
North Adrians Beauty College,California,,2163567,3,275,34
North-West College-Pomona,California,,2642049,3,78,30
North-West College-West Covina,California,,4617106,3,162,51
North-West College-Pasadena,California,,1117244,3,56,25
Northwestern Polytechnic University,California,7200,11095972,2,988,103
Notre Dame de Namur University,California,26830,28297741,2,1613,302
Occidental College,California,37970,124647806,2,1989,667
Oceanside College of Beauty,California,,757132,3,123,10
Ohlone College,California,6000,57995762,1,11695,668
Otis College of Art and Design,California,30660,35933861,2,1221,519
Hope International University,California,21560,15422763,2,987,207
Concorde Career Colleges,California,,7657000,3,666,81
Palo Alto University,California,12523,16521662,2,569,176
Pacific Lutheran Theological Seminary,California,,3733323,2,100,27
Pacific Oaks College,California,20832,7633645,2,578,44
Pacific School of Religion,California,,8337031,2,189,98
Pacific States University,California,14080,2136871,2,197,42
Pacific Union College,California,23844,42971210,2,1526,268
University of the Pacific,California,31730,308547000,2,6401,2273
Palmer College of Chiropractic-West Campus,California,,8619041,2,283,66
Palo Verde College,California,6048,17224893,1,3516,212
Palomar College,California,5320,127701719,1,27442,1613
Marinello Schools of Beauty,California,,2476136,3,209,14
Paris Beauty College,California,,1408707,3,273,14
Pasadena City College,California,5184,169885529,1,26453,1490
Patten University,California,13440,6273490,2,1051,152
Pepperdine University,California,37730,334498000,2,7733,1977
Pitzer College,California,35840,55143366,2,1043,292
Platt College-San Diego,California,24300,4093448,3,293,53
Point Loma Nazarene University,California,25300,64169962,2,3487,804
Pomona College,California,36710,244399000,2,1550,682
Westwood College-South Bay,California,13957,18110454,3,724,111
Professional Institute of Beauty,California,,151159,3,138,17
Santa Ana College,California,5184,195546490,1,43771,2222
Pardee RAND Graduate School,California,,2338212,2,115,8
SHASTA SCHOOL OF COSMETOLOGY,California,,,3,,
University of Redlands,California,33594,111612827,2,4431,957
College of the Redwoods,California,6048,39075196,1,7634,624
Salon Success Academy,California,,2043287,3,163,27
Salon Success Academy,California,,3667716,3,219,16
Marinello School of Beauty,California,,1279063,3,103,13
Rio Hondo College,California,4704,89490740,1,22432,823
Riverside Community College,California,6210,203338695,1,36586,2113
Argosy University-San Francisco Bay Area,California,18360,12602077,3,880,131
Rosemead Beauty School,California,,901876,3,173,16
Dongguk University Los Angeles,California,,1880175,2,171,38
Saddleback College,California,4560,202486551,1,36554,1894
Samra University of Oriental Medicine,California,,,2,177,47
Samuel Merritt University,California,34148,61354760,2,1400,370
Golf Academy of America,California,13820,14788385,3,845,89
San Diego Mesa College,California,5040,354198535,1,52869,3377
San Diego State University,California,11160,490355637,1,33820,3996
University of San Diego,California,35870,290986000,2,7868,2164
San Francisco Art Institute,California,30880,48546478,2,571,191
San Francisco Conservatory of Music,California,33000,16147444,2,415,173
San Francisco State University,California,11160,459621923,1,30469,3461
San Francisco Theological Seminary,California,,12172452,2,403,53
University of San Francisco,California,34430,282018000,2,9008,1879
San Joaquin College of Law,California,,3432200,2,198,49
San Joaquin Delta College,California,5520,122826439,1,20456,1155
San Joaquin Valley College-Bakersfield,California,12090,23960435,3,3749,
William Jessup University,California,18717,16696187,2,578,152
San Jose City College,California,6076,126164207,1,23550,1181
San Jose State University,California,11160,400777180,1,31280,3338
San Mateo County Community College District Office,California,,27223628,1,,208
College of San Mateo,California,5208,64892687,1,11310,549
Westwood College-Los Angeles,California,13302,137082853,3,3968,986
Santa Barbara City College,California,6048,117963398,1,19753,1340
Santa Clara University,California,36000,347806000,2,8985,1680
Santa Monica College,California,5184,172445840,1,32313,1882
Santa Rosa Junior College,California,5913,131967888,1,25877,1851
Saybrook Graduate School and Research Center,California,,13540158,2,579,149
Scripps College,California,38486,78814176,2,921,325
Wyotech-Fremont,California,,27580164,3,1926,185
College of the Sequoias,California,6188,74308097,1,13322,737
Shasta Bible College and Graduate School,California,8800,889989,2,59,34
Shasta College,California,5256,55725176,1,10578,704
Sierra College,California,5040,95568212,1,20688,1187
Sierra College of Beauty,California,,589825,3,85,14
Sierra Valley Business College,California,10000,1667079,3,200,17
Trinity Law and Graduate School,California,,2700537,2,134,32
Simpson University,California,20400,19030382,2,1143,290
College of the Siskiyous,California,5400,25466911,1,3045,337
Charles A. Jones Skills and Business Education Center,California,,11094777,1,1618,45
Skyline College,California,6138,45742171,1,10561,462
San Bernardino Valley College,California,0,140048417,1,21296,1301
Saint Marys College of California,California,33760,98674713,2,3636,890
Solano Community College,California,6510,73319434,1,12222,739
Sonoma State University,California,11160,157677033,1,8546,1267
Pinnacle College,California,,2727503,3,148,24
South Baylo University,California,7650,6014012,2,634,158
South Coast College,California,,2816468,3,366,52
Vanguard University of Southern California,California,25452,39759193,2,1923,332
Concorde Career College,California,,11013000,3,698,87
Southwestern College,California,4753,119449870,1,21597,1201
St. John's Seminary,California,,9353081,2,91,66
Starr King School for Ministry,California,,2453412,2,80,61
Southern California College of Optometry,California,,26046125,2,394,173
Southern California Institute of Architecture,California,25000,19480176,2,474,110
University of Southern California,California,38570,3139912000,2,34824,17598
Southwestern Law School,California,,34613085,2,1082,199
