instname,state,tuition,revenue,control,total_enrollment,all_employees
Lenape Area Vocational Technical School Practical Nursing Program,Pennsylvania,,1334937,1,103,14
Venango County Area Vocational Technical School,Pennsylvania,,887406,1,71,10
Lancaster County Career and Technology Center,Pennsylvania,,5346304,1,483,317
Lebanon County Area Vocational Technical School,Pennsylvania,,1525056,1,101,59
Indiana County Technology Center,Pennsylvania,,1007669,1,70,24
Northern Tier Career Center,Pennsylvania,11924,746121,1,37,9
Clarion County Career Center Practical Nursing Program,Pennsylvania,,695549,1,70,9
Hazleton Area Career Center,Pennsylvania,,514727,1,41,5
All State Career School,Pennsylvania,,2874272,3,294,32
Carlos F Daniels Area Vocational School,Puerto Rico,,1025854,1,60,63
Serbias Technical College,Puerto Rico,,385822,3,247,27
Maison D'Esthetique Academy,Puerto Rico,,,3,,32
Colegio Tecnologico y Comercial de Puerto Rico,Puerto Rico,,317653,3,153,10
Quality Technical and Beauty College,Puerto Rico,7300,440157,3,114,10
D'Mart Institute,Puerto Rico,7502,7878810,3,1357,142
Automeca Technical College,Puerto Rico,6521,1623673,3,265,24
Medvance Institute-Cookeville,Tennessee,,4786207,3,539,34
North Central Institute,Tennessee,,2215189,3,88,34
Stephenville Beauty College,Texas,,,3,27,3
Pipo Academy of Hair Design,Texas,,252239,3,46,8
Tint School of Makeup and Cosmetology,Texas,,883761,3,167,12
ACT College,Virginia,,7556127,3,501,49
United Technical Center,West Virginia,2800,474300,1,25,32
Charles H McCann Technical School,Massachusetts,,,1,,
Ailano School of Cosmetology,Massachusetts,,560636,3,47,6
Carsten Aveda Institute,Arizona,,3534622,3,158,33
Central California School,California,9333,2404248,3,285,15
Mercy Hospital School of Practical Nursing,Florida,,113170,2,107,15
Marion County Community Technical and Adult Education Center,Florida,,7957653,1,540,121
Rivertown School of Beauty Barber Skin Care and Nails,Georgia,,1294263,3,193,20
Atlanta Institute of Music,Georgia,,2001991,3,144,52
The Illinois Center for Broadcasting,Illinois,,3762211,3,292,36
Marion Community Schools Tucker Career & Technology,Indiana,,801988,1,81,12
St Louis Hair Academy,Missouri,,102198,3,22,7
New Dimensions School of Hair Design,Missouri,,217636,3,51,2
Adirondack Beauty School,New York,,175449,3,24,2
Forbes Road Career and Technology Center,Pennsylvania,,,1,,0
Jna Institute of Culinary Arts,Pennsylvania,10000,1144659,3,49,14
Cortiva Institute-Seattle,Washington,,3734454,3,95,52
Putnam Career and Technical Center,West Virginia,,524167,1,101,44
Mountaineer Beauty College,West Virginia,,525219,3,52,15
Argosy University-Washington D.C.,Virginia,18360,17475701,3,1242,86
Crawford County Career and Technical Center Practical Nursing Program,Pennsylvania,11550,478869,1,25,5
Texas College of Cosmetology,Texas,,368002,3,57,7
Beauty Schools of America,Florida,,6070453,3,622,56
Automeca Technical College,Puerto Rico,6521,4120261,3,641,43
Automeca Technical College,Puerto Rico,6521,1964366,3,277,32
Automeca Technical College,Puerto Rico,6521,2097479,3,343,34
Everest University-Melbourne,Florida,13356,14181222,3,896,93
Centura College,Virginia,,4342539,3,212,44
University of Phoenix-Hawaii Campus,Hawaii,10032,10706151,3,996,286
Royal Beauty Careers,Texas,,3172934,3,124,22
Echelon Edge Academy Of Hair Skin and Nails,Utah,,1361778,3,107,19
Southwest College of Naturopathic Medicine & Health Sciences,Arizona,,8413666,2,332,212
Escuela de Peritos Electricitas de Isabela,Puerto Rico,,252789,3,102,14
Virginia College-Birmingham,Alabama,15616,19330890,3,7060,807
Virginia College-Huntsville,Alabama,11712,13476194,3,934,135
Yeshiva D'monsey Rabbinical College,New York,4350,823491,2,71,11
The College of Saint Thomas More,Texas,12000,658957,2,70,14
Career Technical Institute,District of Columbia,13217,4274846,3,349,45
ITT Technical Institute-Getzville,New York,16848,10814286,3,588,67
Sandersville Technical College,Georgia,3600,7972852,1,1116,209
York County Community College,Maine,4704,9049206,1,1358,153
Western Suffolk BOCES,New York,,2984910,1,348,74
Sanford-Brown College,Georgia,12471,16266769,3,1542,109
Sanford-Brown College,Ohio,20920,15759705,3,1499,108
Arkansas State University-Mountain Home,Arkansas,3960,14367126,1,1517,156
Columbia Gorge Community College,Oregon,2520,15686243,1,1156,212
NORTHWEST GRADUATE SCHOOL OF MINISTRY,Washington,,,2,,
Tillamook Bay Community College,Oregon,3312,4796543,1,310,72
Arizona Board of Regents,Arizona,,30616171,1,,29
Argosy University-Schaumburg,Illinois,18360,11541485,3,773,127
Manhattan School of Computer Technology,,,5103101,36,,0.75
University of Phoenix-Louisiana Campus,Louisiana,8280,19733237,3,2249,399
University of Phoenix-Metro Detroit Campus,Michigan,10032,31739525,3,3133,832
Brown Mackie College-Hopkinsville,Kentucky,12768,4575688,3,288,21
Indian Capital Technology Center-Sallisaw,Oklahoma,,4411335,1,473,59
Indian Capital Technology Center-Stilwell,Oklahoma,,1007493,1,133,20
Globelle Technical Institute,Puerto Rico,8200,874219,3,144,15
Hairitage Hair Academy,Utah,,301688,3,49,3
Houghton Lake Institute of Cosmetology LLC,Michigan,,60006,3,21,4
Arizona College of Allied Health,Arizona,13500,7814485,3,740,64
Vanguard Career Center,Ohio,,396918,1,38,8
School of Communication Arts,North Carolina,21000,8300475,3,346,62
New York Conservatory for Dramatic Arts,New York,24250,9904741,3,305,69
Academia Serrant Inc,Puerto Rico,,1662896,3,151,38
Champion Institute of Cosmetology,California,,140621,3,93,7
Pacific College,California,,6382804,3,292,44
American College of Healthcare,California,,105455,3,43,22
Compu-Med Vocational Careers Corp,Florida,,3347981,3,1188,43
Professional Electrical School Inc,Puerto Rico,,467430,3,77,10
Mid-Cities Barber College,Texas,,481350,3,24,9
American Commercial College,Texas,,1082903,3,234,19
Midwestern University,Arizona,19851,95974417,2,2070,410
Oregon Coast Community College,Oregon,8256,6822504,1,653,83
Harrison College-Evansville,Indiana,11205,2747617,3,263,23
Le Cordon Bleu College of Culinary Arts,California,18450,58602869,3,2253,194
American Pacific College,California,,,3,74,13
Kaplan College,California,,2508967,3,243,38
Gwinnett College-Sandy Springs,Georgia,,1488629,3,162,33
Pyramid Career Institute,Illinois,,94400,3,14,14
Central Mass School of Massage & Therapy Inc.,Massachusetts,,344621,3,30,11
Lincoln Technical Institute,Massachusetts,,6042976,3,730,56
Computer Systems Institute,Illinois,,11900000,3,1182,108
Merkaz Bnos-Business School,New York,,1109436,2,175,26
Lia Schorr Institute of Cosmetic Skin Care Training,New York,,231715,3,18,8
ITT Technical Institute-Webster,Texas,16848,8095527,3,439,70
CET-Alexandria,Virginia,,832557,2,174,10
CET-Durham,North Carolina,,1311005,2,197,12
Aviation Institute of Maintenance-Chesapeake,Virginia,,5408491,3,247,39
Centura College,Virginia,,5530824,3,290,54
Technical Education Center-Osceola,Florida,,2542887,1,861,177
Miami Ad School,Florida,17400,6108566,3,390,34
Green Country Technology Center,Oklahoma,,3169010,1,328,31
Askins Vo-Tech,Arkansas,,222998,3,35,4
Nova College de Puerto Rico,Puerto Rico,,1464620,3,245,26
Styles and Profiles Beauty College,Tennessee,,181938,3,29,2
John Wesley International Barber and Beauty College,California,,666968,3,90,12
Platt College,Oklahoma,,1919516,3,152,21
Keiser Career College-Greenacres,Florida,13376,25020613,3,1754,249
Defense Language Institute,California,,,1,,
Argosy University-Tampa,Florida,18360,9481266,3,742,126
Star Truck Driving School,Illinois,,225717,3,64,9
Facultad de Derecho Eugenio Maria de Hostos,Puerto Rico,,2957074,2,148,67
Klamath Community College,Oregon,5148,12847791,1,1208,182
The Art Institute of Phoenix,Arizona,29888,33545990,3,1243,191
Delta Connection Academy,Florida,,,3,,
Michigan Theological Seminary,Michigan,,,2,171,21
American College of Acupuncture and Oriental Med,Texas,,1693811,3,130,26
Academy of Oriental Medicine at Austin,Texas,,3455877,3,204,84
Arlington Medical Institute,Texas,,857888,3,100,12
Urban College of Boston,Massachusetts,3984,3384502,2,617,56
ITT Technical Institute-Henderson,Nevada,16848,20084482,3,1193,127
High-Tech Institute-Minnesota,Minnesota,,4764308,3,357,45
Colorado Technical University,Colorado,10440,12533288,3,1079,163
Everest College-Merrillville,Indiana,,12888885,3,946,85
Southern Careers Institute1 Inc.,Texas,,1404866,3,169,30
Virginia School of Massage,Virginia,,1545751,3,58,19
ITT Technical Institute-Miami,Florida,16848,14295750,3,828,96
CAYCE/REILLY SCHOOL OF MASSOTHERAPY,Virginia,,,2,,
CET-Sacramento,California,,1675585,2,249,16
ITT Technical Institute-Harrisburg,Pennsylvania,16848,7351667,3,403,59
ITT Technical Institute-Monroeville,Pennsylvania,16848,6423875,3,315,57
ITT Technical Institute-Norwood,Ohio,16848,14836268,3,773,96
ITT Technical Institute-Strongsville,Ohio,16848,11154362,3,576,75
Prism Career Institute,New Jeresy,,12614607,3,1120,84
Everest Institute-Marietta,Georgia,,10502597,3,824,65
The Creative Center,Nebraska,20400,2377770,3,127,13
Moberly Area Technical Center,Missouri,,28080,1,6,12
Studio Jewelers,New York,,488334,3,91,6
Praxis Institute,Florida,,4732340,3,332,39
American College of Traditional Chinese Medicine,California,,4523868,2,297,125
San Juan Bautista School of Medicine,Puerto Rico,,5829592,2,257,97
Texas College of Traditional Chinese Medicine,Texas,4286,1556559,3,86,24
Carver Career Center,West Virginia,,3191299,1,267,55
New Hampshire Institute of Art,New Hampshire,15400,9194670,2,445,154
StenoTech Career Institute,New Jeresy,,1207096,3,157,19
Cayuga Onondaga BOCES-Practical Nursing Program,New York,6425,476367,1,32,6
Clearfield County Career and Technology Center,Pennsylvania,,1622793,1,57,15
Cleveland Municipal School District Adult and Continuing Education,Ohio,,,1,81,17
Colegio de Cinematograf_,Bayamon,6550,1430437,72,,0.275
Delaware County Technical School-Practical Nursing Program,Pennsylvania,,1542777,1,89,19
Everest College-Torrance,California,,3759374,3,272,22
The Institute for Health Education,New Jeresy,,1343253,3,137,23
Mid-Del Technology Center,Oklahoma,,5888775,1,110,73
BIR Training Center,Illinois,,5531161,3,397,128
New York Institute of Massage Inc,New York,,1217803,3,86,28
Pioneer Education dba Jolie Hair and Beauty Academy,Massachusetts,,946933,3,182,17
Dutchess BOCES-School of Practical Nursing,New York,,902096,1,145,16
Escuela Tecnica de Electricidad,Puerto Rico,8900,2509441,3,369,56
Institute of Technology Inc,California,,39225680,3,1182,307
Garnet Career Center,West Virginia,,3516856,1,143,40
Genesee Valley BOCES-Practical Nursing Program,New York,,1771270,1,172,38
Hamilton Fulton Montgomery BOCES-Practical Nursing Program,New York,,213639,1,,
The Colorado Center for Medical Laboratory Science,Colorado,,281150,2,18,4
Henrico County-Saint Marys Hospital School of Practical Nursing,Virginia,600,460926,1,47,9
Herkimer County BOCES-Practical Nursing Program,New York,,634231,1,116,9
International Beauty College 3,Texas,,328378,3,63,7
John Dewey College,Puerto Rico,7200,10395637,2,5341,714
Lee County High Tech Center North,Florida,,4782290,1,248,37
Massachusetts General Hospital Dietetic Internship,Massachusetts,,75927,2,10,484
Mercy Hospital School of Nursing,Pennsylvania,8840,1265577,2,75,16
American Beauty Academy,Maryland,,5226896,3,645,75
Northland Career Center,Missouri,,528426,1,28,34
Norwich Regional Vocational Technical School,Connecticut,,403446,1,,
Ocean County Vocational-Technical School,New Jeresy,,1963498,1,434,262
Putnam-Westchester BOCES Practical Nursing Program,New York,,829887,1,73,35
Sullivan County BOCES - Practical Nursing Program,New York,,131077,1,46,13
Texas Careers,Texas,,27974838,3,1970,198
Trinity College of Puerto Rico,Puerto Rico,5489,1324755,2,225,44
Virginia Sewing Machines and School Center,California,,440241,3,70,12
Vogue Beauty School,Georgia,,401801,3,101,7
Yeshiva of the Telshe Alumni,New York,7700,6209228,2,102,16
Kenneth Shuler School of Cosmetology,South Carolina,,2169937,3,136,13
DeVry College of New York,New York,14720,32738657,3,1817,235
DeVry University-Indiana,Indiana,14080,9472007,3,708,83
University of Phoenix-Western Washington Campus,Washington,9528,7876575,3,685,242
University of Phoenix-Central Florida Campus,Florida,8928,60035158,3,6189,1336
University of Phoenix-Oregon Campus,Oregon,9192,12481812,3,1277,341
CET-El Paso,Texas,,1199632,2,138,15
Kaplan College-Riverside,California,,9151375,3,846,75
Appalachian School of Law,Virginia,,8076069,2,334,57
Delaware College of Art and Design,Delaware,17100,9135068,2,226,50
The Art Institute of California-Los Angeles,California,24144,51480462,3,2159,259
American University of Health Sciences,California,,2830077,3,112,38
Career Networks Institute,California,,8258716,3,712,91
Monty Tech,Massachusetts,,327525,1,27,16
Okaloosa Applied Technology Center,Florida,,4346797,1,329,40
Lincoln Technical Institute,Rhode Island,,9528606,3,1229,96
Wayne County Schools Career Center,Ohio,,1937651,1,329,138
Blessing Hospital School of Medical Laboratory Technology,Illinois,,94571,2,5,9
Carolinas College of Health Sciences,North Carolina,,7803457,1,506,89
Lester E Cox Medical Center-School of Medical Technology,Missouri,,18000,2,6,1
Western Governors University,Utah,5780,114124436,2,15870,674
Santa Barbara Business College,California,,27497911,3,1472,266
Sullivan and Cogliano Training Center,Massachusetts,,7614605,3,875,59
Herzing University,Louisiana,13734,6261649,3,361,48
Spencerian College-Lexington,Kentucky,15500,6774748,3,618,109
Florida Gulf Coast University,Florida,17363,145897935,1,11092,1234
Seacoast Career Schools-Sanford Campus,Maine,,6540463,3,867,67
Little Priest Tribal College,Nebraska,2400,2477539,2,141,40
National Labor College,Maryland,6714,18764943,2,473,57
ITT Technical Institute-Richardson,Texas,16848,13799342,3,744,84
South Louisiana Community College,Louisiana,1646,11942758,1,4092,248
HRDE-Stanley Technical Institute-Parkersburg,West Virginia,,178583,2,4,6
Pima Medical Institute,California,,6392588,3,896,46
Lincoln College of Technology,Georgia,,4764920,3,580,56
Academy of Hair Design,Texas,,414430,3,78,6
Academy of Hair Design,Texas,,497675,3,67,7
Baltimore School of Massage,Maryland,,6023601,3,252,70
Charter College,California,,22240394,3,1269,145
David Demuth Institute of Cosmetology,Indiana,,491201,3,75,5
Hair in Motion Beauty Academy,Massachusetts,,167027,3,17,8
Northwest HVAC/R Training Center,Washington,,637854,2,51,7
Elite Beauty College,California,,655000,3,17,11
L T International Beauty School,Pennsylvania,,475068,3,72,20
Michigan Jewish Institute,Michigan,10500,13619762,2,79,41
Myotherapy Institute,Nebraska,10840,440460,3,26,15
Florida College of Integrative Medicine,Florida,,1863216,3,120,34
New Professions Technical Institute,Florida,,3216621,3,301,48
Strand College of Hair Design,South Carolina,,612344,3,75,8
Touch of Class School of Cosmetology,Texas,,984230,3,47,12
ITT Technical Institute-Arnold,Missouri,16848,16064162,3,903,114
ITT Technical Institute-Burr Ridge,Illinois,16848,7378774,3,425,57
ITT Technical Institute-Albany,New York,16848,7534182,3,430,54
ITT Technical Institute-Liverpool,New York,16848,6647407,3,355,55
Ilisagvik College,Alaska,3600,13626071,1,226,147
The Community College of Baltimore County,Maryland,6576,169238921,1,23584,2650
Golf Academy of America,South Carolina,13820,6002690,3,352,28
Florida Coastal School of Law,Florida,,50053178,3,1605,249
White Earth Tribal and Community College,Minnesota,2400,4583333,2,113,32
Centura College,South Carolina,,4490828,3,447,84
Blue Cliff College-Metairie,Louisiana,13144,4016317,3,355,49
Creative Images Institute of Cosmetology,Ohio,,1997580,3,349,33
Yeshiva College of the Nations Capital,Maryland,9500,5948446,2,55,11
University of Phoenix-Maryland Campus,Maryland,10032,6659759,3,794,320
University of Phoenix-Oklahoma City Campus,Oklahoma,8400,15518110,3,1778,424
Louisiana State University Health Sciences Center-Shreveport,Louisiana,8198,607444825,1,823,1801
Central Career Institute LLC,New Jeresy,,1163809,3,161,14
Franklin Career Institute,New York,,11277270,2,684,88
Montessori Institute of Milwaukee,Wisconsin,,448295,2,31,4
New Creations Academy of Hair Design,Maryland,,,3,18,5
Pryor Beauty College,Oklahoma,,370382,3,63,10
Argosy University-Phoenix,Arizona,18360,13202047,3,885,100
High-Tech Institute-Orlando,Florida,,7972092,3,609,59
River Parishes Community College,Louisiana,4550,7522513,1,1805,101
Los Angeles Film School,California,,12595274,3,517,173
National American University-Bloomington,Minnesota,12960,5403350,3,491,68
A.B.I. School of Barbering & Cosmetology of Chelsea Inc.,New York,,861906,3,133,11
Century College,Puerto Rico,6400,68372,3,274,17
Connecticut Training Centers Inc,Connecticut,,2951764,2,223,23
FINE Mortuary College LLC,Massachusetts,17613,1241824,3,76,24
International Baptist College,Arizona,8796,1155800,2,91,25
The Medical Arts School,North Carolina,,1817709,3,92,18
Fortis College,Alabama,,851568,3,125,10
Medical Training College,Louisiana,,2330198,3,117,27
Professional Training Centers,Florida,,6113950,3,238,77
Toni & Guy Hairdressing Academy,Texas,,3639548,3,152,23
Universal Career Community College Inc,Puerto Rico,9045,7021771,3,722,105
Capri Institute of Hair Design,New Jeresy,,736114,3,61,7
ITT Technical Institute-Saint Rose,Louisiana,16848,12323592,3,706,96
ITT Technical Institute-Richmond,Virginia,16848,15132985,3,815,88
Baton Rouge Community College,Louisiana,4356,33279744,1,8104,455
ITT Technical Institute-Lathrop,California,16848,14150812,3,737,93
International Yacht Restoration School,Rhode Island,,1982896,2,50,20
Academy of Massage Therapy,New Jeresy,,2935417,3,206,31
Remington College-San Diego Campus,California,15663,,3,39,16
Culinary Academy of Long Island,New York,,4260068,3,540,29
Midwest Technical Institute,Illinois,,6073102,3,903,81
Oklahoma Health Academy,Oklahoma,,2171676,3,78,15
Oklahoma Health Academy,Oklahoma,13038,2295124,3,216,27
Advanced Barber College and Hair Design,Texas,,313243,3,117,9
Academy of Health Care Professions,Texas,,3276081,3,244,29
The English Center,California,8660,2375644,2,159,30
ICDC College,California,,32300947,3,2892,307
Monteclaro Escuela de Hoteleria y Artes Culinarias,Puerto Rico,,175640,2,20,10
New Community Workforce Development Center,New Jeresy,,1336028,2,251,29
Dallas Nursing Institute,Texas,,9240145,3,134,95
Professional Golfers Career College,California,10780,6981284,3,596,64
Richmond School of Health and Technology,Virginia,,6619811,3,655,88
Westwood College-Anaheim,California,13957,27431206,3,1206,132
Stevens-Henager College,Utah,16597,7820632,3,1080,105
Everest Institute-Jonesboro,Georgia,,15722468,3,1243,104
McCann School of Business and Technology,Pennsylvania,11520,37690102,3,2707,390
Ridley-Lowell School of Business,New York,,2652825,3,258,40
Stratford University,Virginia,13770,20947587,3,1342,190
Universal Technical Institute of California Inc,California,,55825000,3,2677,145
American InterContinental University,Georgia,15150,33629907,3,2050,225
American InterContinental University,Florida,16037,15812105,3,904,114
University of Phoenix-Philadelphia Campus,Pennsylvania,10800,9796397,3,1053,415
Everest Institute-Decatur,Georgia,,22371659,3,1460,95
Evereest College-Chesapeake,Virginia,28800,12974442,3,791,91
Everest Institute-Greenspoint,Texas,,14905866,3,1226,82
The Academy of Hair Design Six,Mississippi,,680165,3,69,7
Aviation Institute of Maintenance-Indianapolis,Indiana,,3444887,3,187,22
Remington College-Little Rock Campus,Arkansas,14427,7339603,3,522,54
Valley Career College,California,,3760577,3,416,32
Everest University-Jacksonville,Florida,13356,19882299,3,1279,135
Harrison College-Fort Wayne,Indiana,11205,7727598,3,657,42
IVAEM College,Puerto Rico,,928596,3,206,14
Argosy University-Seattle,Washington,18360,6532094,3,487,70
ITT Technical Institute-Woburn,Massachusetts,16848,10370150,3,587,89
Texas Tech University System Administration,Texas,,5933385,1,,169
DeVry University-Florida,Florida,14080,52586381,3,4423,559
Cascadia Community College,Washington,7812,19971697,1,2727,218
University of Phoenix-St Louis Campus,Missouri,10032,6975728,3,605,172
University of Phoenix-Cleveland Campus,Ohio,10032,6025428,3,609,230
DeVry University-Maryland,Maryland,14080,1967363,3,142,28
Community Based Education and Development DBA CBD College,California,,3707946,2,263,49
East West College of Natural Medicine,Florida,,1777866,3,115,13
J & J Hair Design College,Mississippi,,953060,3,48,11
Americare School of Nursing,Florida,,2152138,3,335,61
Atlantic Institute of Oriental Medicine,Florida,13000,1774434,2,110,20
ATS Institute of Technology,Ohio,16368,5333418,3,393,68
Bennett Career Institute,District of Columbia,,1793368,3,238,25
Blue Cliff College-Shreveport,Louisiana,13144,2579801,3,153,30
Blue Cliff College-Lafayette,Louisiana,13144,1529170,3,113,25
Career Quest,Texas,,6683857,3,356,33
Central Florida Institute,Florida,,9255233,3,868,92
Community Care College,Oklahoma,,16075730,3,404,131
Coryell Cosmetology College,Texas,,143625,3,35,5
Crossroads Bible College,Indiana,11850,2167373,2,222,39
Erie 1 BOCES,New York,,2665347,1,306,40
Fayette Beauty Academy,Georgia,,76927,3,38,5
Harlem School of Technology Inc,New York,,,3,40,7
HDS Truck Driving Institute,Arizona,,1250483,3,105,15
International Training Careers,Florida,,4354189,2,328,28
James Albert School of Cosmetology,California,,2674165,3,175,29
King's College and Seminary,California,7020,6068017,2,422,108
Lacy Cosmetology School,South Carolina,,596820,3,30,5
Medvance Institute of Baton Rouge,Louisiana,,8296870,3,781,54
My Le's Beauty College,California,,687141,3,120,10
NAWCC School of Horology,Pennsylvania,,393435,2,19,7
New Concept Massage and Beauty School,Florida,,880955,3,25,13
New York College of Traditional Chinese Medicine,New York,13608,1918953,2,147,42
Fortis College,Florida,,9504461,3,885,88
Northeastern Seminary,New York,,1440095,2,106,13
Bryan College,California,,5795284,3,436,37
Omega Institute of Cosmetology,Louisiana,,646534,3,57,8
Pacific Islands Bible College,GU,6480,1638820,2,94,10
PCI College,California,,1710000,3,197,19
Rosedale Bible College,Ohio,7470,2093751,2,61,22
St. Francis Career College,California,,5995927,2,134,45
Seattle Institute of Oriental Medicine,Washington,,810472,3,36,22
Shawnee Beauty College,Oklahoma,,267578,3,34,9
Acupuncture and Massage College,Florida,9850,1758498,3,144,29
Southeastern School of Cosmetology,Alabama,,1484823,2,118,13
Universal Therapeutic Massage Institute,New Mexico,,936565,3,30,28
Upper Valley Educators Institute,New Hampshire,,932093,2,54,34
Keck Graduate Institute,California,,13352952,2,110,86
Aviation Institute of Maintenance-Atlanta,Georgia,30720,10330992,3,535,52
National Beauty College,Texas,,356129,3,47,5
Empire Beauty School-Kennesaw,Georgia,,2211216,3,105,11
High-Tech Institute-Nashville,Tennessee,,7493080,3,625,57
High-Tech Institute-Dallas,Texas,,8884819,3,746,67
Westwood College-River Oaks,Illinois,14420,15452697,3,579,105
ITT Technical Institute-Green Bay,Wisconsin,16848,17912193,3,1027,108
Career Training Academy,Pennsylvania,,931522,3,85,15
Huntingdon County Career and Technology Center,Pennsylvania,,333651,1,33,32
Missouri College of Cosmetology North,Missouri,,1503832,3,134,28
Keyskills Learning,New Jeresy,,855781,3,62,15
Ivy Tech Community College-Bloominton,Indiana,6206,22107868,1,5906,495
Midwest University,Missouri,6200,,2,300,42
New York Automotive and Diesel Institute,New York,,6338562,3,448,42
Remington College-Baton Rouge,Louisiana,14398,7571357,3,480,58
Everest College-Ontario Metro,California,12681,16744216,3,986,94
The Art Institute of Washington,Virginia,22656,52781614,3,2151,293
Everest Institute-Dearborn,Michigan,,20079095,3,1414,114
Centura College,Virginia,,3255135,3,200,41
New Saint Andrews College,Idaho,9200,1487404,2,181,33
University of Phoenix-Boston Campus,Massachusetts,10800,2637478,3,300,155
University of Phoenix-Dallas Fort Worth Campus,Texas,9528,13819364,3,1410,427
University of Phoenix-Houston Westside Campus,Texas,9528,31544513,3,2987,647
University of Phoenix-Milwaukee Campus,Wisconsin,9528,5933900,3,653,193
University of Phoenix-Idaho Campus,Idaho,8760,5302076,3,572,183
Westwood College-Inland Empire,California,13957,28430699,3,1140,146
DeVry University-Virginia,Virginia,14080,19135372,3,1233,246
DeVry University-Washington,Washington,14720,15692167,3,1003,164
DeVry University-Colorado,Colorado,14080,18557405,3,1602,208
Louisiana Delta Community College,Louisiana,1677,14919659,1,1639,130
ITT Technical Institute-Bensalem,Pennsylvania,16848,12370002,3,669,86
Atenas College,Puerto Rico,4302,13780661,2,1469,126
Onondaga Cortland Madison BOCES,New York,,7057720,1,912,59
National American University-Ellsworth AFB Extension,South Dakota,5954,1489933,3,329,20
National American University-Rio Rancho,New Mexico,11340,2265894,3,226,11
National American University-Brooklyn Center,Minnesota,12960,6819469,3,478,49
Interactive Learning Systems,Texas,,1011122,3,35,9
Somerset Christian College,New Jeresy,10944,4645681,2,241,52
Milan Institute,Idaho,,10727635,3,975,100
International Academy of Design and Technology,Florida,16800,20891246,3,1121,148
Lincoln Technical Institute,Massachusetts,16847,5295438,3,735,52
Texas Barber Colleges and Hairstyling Schools,Texas,,9225769,3,1375,72
Everest Institute-Hobby,Texas,,15534983,3,1137,73
Miller-Motte Technical College,South Carolina,11760,13101449,3,864,96
Saginaw Chippewa Tribal College,Michigan,1440,616722,1,134,22
Richmont Graduate University,Tennessee,,4820610,2,261,131
Mars Hill Graduate School,Washington,,4528137,2,273,85
East Valley Institute of Technology,Arizona,,827311,1,270,149
West Coast Ultrasound Institute,California,19200,11174193,3,632,134
Irell and Manella Graduate School of Biological Sciences,California,,4313533,2,76,4
Design's School of Cosmetology,California,,713498,3,60,13
Paul Mitchell the School-Santa Barbara,California,,1823900,3,132,26
University of the Rockies,Colorado,,10695711,3,842,227
Eli Whitney Regional Vocational Technical School,Connecticut,,,1,,
Vinal Regional Vocational-Technical School,Connecticut,,450068,1,,
Oliver Wolcott Regional Vocational Technical Sch,Connecticut,,,1,,
Windham Regional Vocational Technical School,Connecticut,,313850,1,,
Harris School of Business-Wilmington Campus,Delaware,,4883591,3,782,61
Ultimate Medical Academy,Florida,,30793177,3,2664,251
Florida Barber Academy,Florida,,1392842,3,231,11
Angley College,Florida,14301,6152076,3,503,100
Jacksonville Beauty Institute,Florida,,1408093,3,79,13
M-DCPS The English Center,Florida,,492841,1,242,262
Florida Education Institute,Florida,,3351857,3,356,37
Superior Career Institute,Florida,,963139,3,96,25
Florida Institute of Animal Arts,Florida,,1429786,3,452,26
Powder Springs Beauty College,Georgia,,,3,,
National Graduate School of Quality Management,Massachusetts,20160,7141073,2,318,228
Texas County Technical Institute,Missouri,,3256950,2,186,37
Aviation Institute of Maintenance-Kansas City,Missouri,38547,3144495,3,166,24
Blue Cliff College,Mississippi,13144,2523276,3,238,38
Apex School of Theology,North Carolina,4600,2246559,2,245,20
Institute for Therapeutic Massage,New Jeresy,,1805306,3,102,43
Cortiva Institute-Somerset School of Massage Therapy,New Jeresy,,,3,223,31
Metropolitan Learning Institute,New York,,3420058,2,555,69
Anthem Institute - Manhattan,New York,,8339003,3,773,62
Orleans Niagara BOCES-Practical Nursing Program,New York,,596416,1,45,25
Yeshiva Shaarei Torah of Rockland,New York,8000,1368198,2,22,10
Leon Studio 1 School of Hair Design & Career Training Center,New York,,876670,3,,11
St Joseph's Medical Center School of Radiography,New York,,235609,2,30,4
American Institute of Alternative Medicine,Ohio,11775,2071378,3,144,40
Brown Aveda Institute,Ohio,,4201273,3,251,72
Valley Medical College,Oregon,,1276297,3,138,15
Susquehanna County Career and Technology Center,Pennsylvania,,,1,,
Centro de Capacitacion y Asesoramiento Vetelba,Puerto Rico,,,2,41,19
Colegio Pentecostal Mizpa,Puerto Rico,2520,1719733,2,275,41
Caribbean Forensic and Technical College,Puerto Rico,9150,563941,3,151,26
Charleston School of Massage,South Carolina,,148425,3,44,10
Concorde Career Institute,Texas,,11016000,3,798,96
Kussad Institute of Court Reporting,Texas,8400,241221,3,27,7
Lamar Institute of Technology,Texas,8808,24745518,1,3154,267
MJ's Beauty Academy Inc,Texas,,360369,3,52,6
Aviation Institute of Maintenance-Dallas,Texas,,8373455,3,493,36
State Beauty Academy,Texas,,522746,3,50,3
Healing Mountain Massage School,Utah,,927936,3,36,32
Career Training Solutions,Virginia,,3398683,3,329,42
Rudy & Kelly Academy of Hair and Nails,Virginia,,2138818,3,121,28
South Branch Career and Technical Center,West Virginia,,,1,,
Nevada State College,Nevada,12347,22219000,1,2516,227
Virginia College-Jackson,Mississippi,,12690777,3,958,119
Virginia College-Austin,Texas,12414,11046288,3,865,102
California State University-Channel Islands,California,11160,95353512,1,3862,644
