instname,state,tuition,revenue,control,total_enrollment,all_employees,LONGITUD,LATITUDE
American Conservatory Theater,California,10833,17162558,70,232,-122.40499,37.787462,
American River College,California,3752,218539672,53551,2856,-121.350404,38.649035,
Bryman College-Hayward,California,,4621911.003,59,,-122.085034,37.675468,
Antelope Valley College,California,3990,39325062,9370,605,-118.184546,34.674985,
Art Center College of Design,California,18470,55838452,1438,527,-118.186916,34.169997,
Associated Technical College,California,,2603045.003,479,,-118.272335,34.05636,
Associated Technical College,California,,3847120.003,157,,-117.157997,32.715643,
Azusa Pacific University,California,14630,84403191,6033,950,-117.890001,34.128897,
Bakersfield College,California,3416,99534504,20035,1368,-118.973206,35.410917,
BARSTOW ACADEMY OF BEAUTY,California,,,3,,,-117.02158,34.898722
Barstow Community College,California,3264,10548731,2219,112,-117.015632,34.855271,
Bay Vista College of Beauty,California,,773736.003,115,,-117.089833,32.676836,
Bethany University,California,9800,5747359.002,553,118,-121.994343,37.074773,
Bethesda Christian University,California,3600,19221164,,,-117.941619,33.842251,
Biola University,California,15914,58211000,3874,737,-118.017982,33.905083,
Brooks Institute of Photography,California,15000,9029408.003,551,78,-119.694882,34.437392,
Brownson Technical School,California,,81862.003,51,,-117.906603,33.819219,
Bryan College,California,5280,891791.003,266,,-118.302824,34.061733,
Butte College,California,3216,54774938,9881,880,-121.65112,39.650045,
Phillips Graduate Institute,California,,4544226.002,,,-118.501104,34.170022,
California Institute of Integral Studies,California,13740,8480005.002,1017,93,-122.416492,37.774828,
Cabrillo College,California,,52894221,12622,663,-121.928163,36.989141,
California Baptist University,California,9308,22817320,2058,219,-117.427126,33.931322,
California College of the Arts,California,18188,24799000,1131,123,-122.251396,37.835739,
University of California Hastings College of Law,California,,29668139,1122,508,-122.415566,37.780684,
California Institute of Technology,California,19260,2034583008,1889,2528,-118.127476,34.135914,
California Lutheran University,California,16020,41494117,2794,,-118.8771,34.225543,
California Polytechnic State University-San Luis Obispo,California,7380,252107886,16470,2309,-120.65856,35.29889,
California State University-Bakersfield,California,7380,74850509,6210,792,-119.103271,35.354272,
California State University-Stanislaus,California,7380,77331328,6489,852,-120.85747,37.52577,
