instname,state,tuition,revenue,control,total_enrollment,all_employees,LONGITUD,LATITUDE
California Western School of Law,California,,18873131,2,717,162,-117.162506,32.72196
Cuyamaca College,California,3264,72685356,1,22630,1411,-116.938335,32.746192
Platt College-San Diego,California,,2568760,3,298,39,-117.063406,32.76359
California Hair Design Academy,California,,584497,3,,,-117.025306,32.765662
Mueller College of Holistic Studies,California,11250,1937762,3,308,,-117.163556,32.766008
Remington College-San Diego Campus,California,,2651445,3,180,,-117.163556,32.766008
California College-San Diego,California,6900,512613,3,85,4,-117.133698,32.770239
University of San Diego,California,17780,164279950,2,6956,1148,-117.190524,32.770637
San Diego State University,California,7830,498846076,1,31413,4169,-117.072101,32.774567
Argosy University-San Diego,California,16380,1064611,3,55,,-117.158312,32.775212
Art Institute of California-San Diego,California,,2218010,3,,,-117.15509,32.777876
Pacific College of Oriental Medicine,California,,5331013,3,,,-117.161087,32.778145
Fashion Careers College,California,10958,1233634,3,119,,-117.20727,32.780841
CET-El Centro,California,,1338267,2,178,,-115.548865,32.790829
J Boutique College of Beauty,California,,1275995,3,204,,-116.945617,32.794837
San Diego Christian College,California,10840,7145553,2,613,129,-116.904289,32.79999
Southern California Seminary,California,2880,1250189,2,199,,-116.905476,32.8008
San Diego Mesa College,California,3120,203426670,1,40788,2203,-117.17378,32.804711
ITT Technical Institute,California,8073,10597527,3,873,63,-117.11928,32.806768
Valley Career College,California,,946559,3,,,-116.973443,32.807183
Advanced Training Associates,California,,503378,3,3,,-116.981316,32.819373
Coleman College,California,10080,12548197,2,,206,-117.135995,32.82143
Maric College-San Diego,California,11625,16834583,3,983,180,-117.134489,32.82183
International Professional School of Bodywork,California,6260,2113543,3,287,87,-117.133596,32.822157
Imperial Valley College,California,3264,25713908,1,4839,219,-115.50268,32.825884
University of California-San Diego,California,9384,1428597976,1,19894,12451,-117.239122,32.875469
Design Institute of San Diego,California,10200,2534257,3,301,38,-117.167676,32.880904
National University,California,9900,124189033,2,17065,1455,-117.244243,32.909469
Life Purpose Institute Inc,California,2695,,3,,,-117.13815,32.94292
Academy of Hair Design-Poway,California,,1256726,3,162,,-117.042743,32.956572
Westminster Theological Seminary in California,California,,2750956,2,151,38,-117.048176,33.121468
San Diego Golf Academy,California,7700,6279300,3,548,65,-117.284004,33.122098
Healing Hands School of Holistic Health,California,,954091,3,72,16,-117.086357,33.130045
Gemological Institute of America,California,,72473000,2,13204,,-117.317511,33.131547
California State University-San Marcos,California,7380,63423248,1,5739,801,-117.164408,33.131605
Palomar Institute of Cosmetology,California,,758254,3,93,,-117.188545,33.136346
Palomar College,California,3630,82987833,1,20492,1554,-117.182773,33.149192
Maric College,California,,3688151.15,3,502,59,-117.221698,33.170924
Oceanside College of Beauty,California,,529390,3,90,,-117.365054,33.178642
Miracosta College,California,4080,47999391,1,8490,663,-117.30097,33.18992
CET-Rancho Temecula,California,,554386,2,32,,-117.155728,33.508688
Royale College of Beauty,California,,373358,3,122,,-117.164269,33.515736
Professional Golfers Career College,California,9180,2534728,3,104,,-117.163055,33.529721
Saddleback College,California,3000,115979888,1,27756,1475,-117.667159,33.557017
Laguna College of Art and Design,California,12600,2942556,2,,,-117.774129,33.557182
Soka University of America,California,,126832060,2,17,,-117.732384,33.5579
James Albert School of Cosmetology,California,,723674,3,62,,-117.918815,33.64122
Interior Designers Institute,California,8980,2280937,3,463,25,-117.865553,33.641543
University of California-Irvine,California,9804,828820008,1,19277,8178,-117.842133,33.647124
Concordia University,California,15700,17943705,2,1208,256,-117.8077,33.655664
Vanguard University of Southern California,California,12556,23545965,2,1429,,-117.902791,33.663869
Paul Mitchell the School,California,,4748302,3,270,,-117.92095,33.67336
Stanbridge College,California,,1227836,3,28,0,-117.857444,33.678214
CET-Coachella,California,,612869,2,48,,-116.17357,33.67943
Pacific College,California,,2239407,3,156,,-117.87356,33.680214
University of Phoenix-Southern California Campus,California,7488,164836552,3,21896,3623,-117.885492,33.685987
RICHARDS BEAUTY COLLEGE,California,,,3,,,-117.953908,33.686604
Art Institute of California-Orange County,California,15888,15617415,3,938,,-117.91863,33.6957
Taft University System,California,,2094143,3,293,81,-117.913677,33.698574
Coachella Valley Beauty College,California,,507832,3,120,,-116.277835,33.707482
American Institute of Massage Therapy,California,,417928,3,33,,-117.85027,33.715851
Coastline Beauty College,California,,441180,3,157,15,-117.939805,33.71624
Coastline Community College,California,,,1,34848,2239,-117.929579,33.716363
Modern Technology School,California,,1461791,3,163,,-117.918833,33.72305
International School of Beauty Inc,California,,1104955,3,177,,-116.403765,33.729597
College of the Desert,California,3892,41000305,1,16505,166,-116.38753,33.73256
Marymount College,California,14600,16166307,2,907,195,-118.333978,33.73563
Image School of Cosmetology,California,,565968,3,102,,-116.999767,33.747387
